0,1,2,3,4
420.0,64.0,103.0,222.0,40.0
113.0,30.0,80.0,81.0,235.0
875.0,141.0,7.0,81.0,37.0
122.0,234.0,112.0,15.0,26.0
126.0,64.0,55.0,202.0,98.0
122.0,121.0,101.0,145.0,497.0
13.0,35.0,90.0,236.0,350.0
429.0,131.0,711.0,81.0,89.0
48.0,234.0,3.0,145.0,111.0
84.0,203.0,7.0,157.0,555.0
875.0,141.0,99.0,29.0,89.0
54.0,104.0,238.0,360.0,111.0
45.0,35.0,79.0,360.0,526.0
164.0,131.0,39.0,235.0,223.0
85.0,104.0,103.0,145.0,235.0
79.0,254.0,50.0,81.0,16.0
154.0,35.0,711.0,81.0,143.0
75.0,104.0,777.0,50.0,22.0
223.0,102.0,142.0,22.0,17.0
82.0,78.0,236.0,51.0,99.0
420.0,141.0,84.0,22.0,54.0
154.0,254.0,517.0,21.0,235.0
79.0,121.0,112.0,21.0,117.0
777.0,131.0,711.0,360.0,111.0
164.0,131.0,103.0,81.0,350.0
420.0,234.0,166.0,222.0,888.0
236.0,56.0,131.0,51.0,99.0
58.0,104.0,103.0,81.0,111.0
126.0,131.0,45.0,236.0,37.0
164.0,64.0,13.0,81.0,29.0
92.0,60.0,101.0,119.0,21.0
887.0,104.0,55.0,81.0,350.0
133.0,91.0,238.0,67.0,99.0
875.0,33.0,25.0,81.0,80.0
141.0,31.0,39.0,523.0,40.0
41.0,131.0,157.0,429.0,53.0
122.0,64.0,13.0,145.0,12.0
58.0,131.0,157.0,81.0,50.0
50.0,11.0,157.0,81.0,25.0
92.0,60.0,777.0,145.0,111.0
266.0,154.0,711.0,15.0,350.0
8.0,91.0,103.0,67.0,40.0
106.0,141.0,18.0,110.0,99.0
38.0,163.0,777.0,145.0,53.0
114.0,104.0,103.0,202.0,267.0
24.0,107.0,45.0,67.0,37.0
2.0,91.0,163.0,81.0,117.0
86.0,11.0,1.0,236.0,235.0
876.0,106.0,115.0,222.0,111.0
221.0,76.0,203.0,202.0,22.0
114.0,62.0,55.0,202.0,235.0
104.0,107.0,105.0,81.0,350.0
98.0,141.0,142.0,235.0,50.0
223.0,234.0,517.0,145.0,53.0
17.0,56.0,50.0,429.0,53.0
85.0,121.0,238.0,145.0,111.0
240.0,64.0,112.0,81.0,99.0
92.0,91.0,103.0,236.0,350.0
54.0,121.0,3.0,523.0,267.0
875.0,67.0,142.0,236.0,53.0
516.0,78.0,81.0,145.0,497.0
114.0,121.0,103.0,67.0,117.0
875.0,91.0,163.0,81.0,143.0
104.0,35.0,136.0,202.0,101.0
150.0,421.0,133.0,498.0,89.0
516.0,91.0,55.0,21.0,111.0
107.0,131.0,711.0,145.0,518.0
68.0,19.0,112.0,523.0,43.0
79.0,120.0,119.0,236.0,111.0
150.0,163.0,67.0,18.0,25.0
54.0,141.0,69.0,18.0,111.0
150.0,64.0,84.0,360.0,117.0
10.0,131.0,101.0,145.0,117.0
223.0,104.0,238.0,119.0,412.0
266.0,234.0,711.0,429.0,64.0
43.0,104.0,166.0,51.0,887.0
48.0,30.0,238.0,236.0,7.0
223.0,107.0,103.0,145.0,53.0
48.0,33.0,80.0,96.0,117.0
39.0,91.0,45.0,81.0,53.0
223.0,30.0,238.0,51.0,267.0
14.0,59.0,876.0,360.0,497.0
39.0,56.0,157.0,202.0,350.0
58.0,33.0,126.0,21.0,101.0
887.0,246.0,238.0,51.0,99.0
114.0,64.0,127.0,29.0,350.0
114.0,79.0,68.0,18.0,888.0
67.0,876.0,42.0,222.0,53.0
114.0,64.0,777.0,202.0,53.0
107.0,254.0,517.0,145.0,127.0
24.0,131.0,16.0,202.0,157.0
68.0,154.0,234.0,22.0,99.0
266.0,78.0,517.0,235.0,875.0
8.0,131.0,157.0,360.0,526.0
150.0,56.0,54.0,236.0,350.0
2.0,203.0,238.0,145.0,50.0
104.0,141.0,421.0,145.0,89.0
157.0,131.0,69.0,498.0,103.0
38.0,203.0,711.0,67.0,350.0
78.0,76.0,4.0,360.0,111.0
24.0,245.0,55.0,29.0,350.0
266.0,76.0,163.0,81.0,43.0
14.0,56.0,63.0,145.0,111.0
92.0,234.0,498.0,711.0,25.0
112.0,163.0,55.0,145.0,111.0
17.0,131.0,157.0,202.0,235.0
126.0,131.0,777.0,145.0,235.0
24.0,104.0,157.0,236.0,37.0
86.0,104.0,20.0,236.0,53.0
516.0,120.0,45.0,145.0,99.0
164.0,254.0,711.0,360.0,161.0
266.0,421.0,103.0,81.0,350.0
43.0,32.0,134.0,81.0,37.0
92.0,104.0,34.0,67.0,16.0
78.0,19.0,238.0,222.0,117.0
39.0,113.0,92.0,81.0,43.0
126.0,62.0,103.0,81.0,43.0
67.0,20.0,777.0,145.0,111.0
2.0,113.0,99.0,67.0,89.0
24.0,64.0,50.0,221.0,350.0
14.0,24.0,84.0,222.0,161.0
2.0,91.0,112.0,202.0,147.0
266.0,203.0,777.0,22.0,111.0
106.0,238.0,245.0,110.0,101.0
41.0,104.0,55.0,111.0,115.0
62.0,102.0,54.0,21.0,99.0
24.0,64.0,112.0,360.0,555.0
164.0,154.0,90.0,157.0,57.0
122.0,131.0,39.0,110.0,53.0
62.0,60.0,24.0,81.0,25.0
8.0,35.0,236.0,222.0,412.0
2.0,56.0,112.0,119.0,99.0
41.0,203.0,711.0,145.0,12.0
84.0,120.0,517.0,81.0,53.0
10.0,76.0,236.0,360.0,45.0
92.0,56.0,103.0,81.0,50.0
36.0,32.0,517.0,235.0,119.0
67.0,59.0,103.0,202.0,50.0
106.0,59.0,91.0,63.0,518.0
887.0,62.0,157.0,51.0,25.0
92.0,91.0,112.0,360.0,888.0
875.0,64.0,59.0,236.0,34.0
223.0,120.0,39.0,22.0,16.0
141.0,121.0,63.0,429.0,875.0
68.0,28.0,234.0,236.0,43.0
62.0,131.0,238.0,202.0,235.0
74.0,131.0,777.0,145.0,111.0
114.0,62.0,103.0,360.0,53.0
17.0,64.0,112.0,222.0,223.0
54.0,104.0,134.0,81.0,16.0
86.0,5.0,517.0,21.0,3.0
82.0,32.0,238.0,22.0,99.0
24.0,131.0,517.0,236.0,518.0
104.0,78.0,127.0,523.0,888.0
106.0,69.0,103.0,145.0,235.0
68.0,131.0,112.0,29.0,350.0
50.0,104.0,22.0,81.0,99.0
64.0,202.0,517.0,126.0,101.0
10.0,64.0,7.0,25.0,202.0
86.0,5.0,13.0,360.0,111.0
84.0,104.0,166.0,202.0,888.0
2.0,163.0,91.0,81.0,117.0
126.0,154.0,103.0,236.0,267.0
30.0,64.0,711.0,81.0,53.0
122.0,141.0,39.0,81.0,99.0
875.0,62.0,420.0,202.0,25.0
887.0,91.0,112.0,81.0,63.0
266.0,62.0,4.0,51.0,89.0
98.0,91.0,103.0,222.0,53.0
10.0,9.0,157.0,80.0,163.0
75.0,76.0,166.0,51.0,117.0
78.0,104.0,236.0,145.0,101.0
122.0,2.0,90.0,145.0,111.0
82.0,35.0,64.0,81.0,223.0
85.0,141.0,517.0,81.0,22.0
75.0,131.0,134.0,119.0,89.0
114.0,104.0,517.0,119.0,53.0
24.0,141.0,147.0,201.0,523.0
126.0,19.0,157.0,96.0,117.0
114.0,11.0,45.0,21.0,143.0
54.0,234.0,39.0,35.0,22.0
62.0,28.0,777.0,236.0,111.0
41.0,76.0,112.0,18.0,555.0
223.0,203.0,104.0,81.0,53.0
39.0,76.0,136.0,202.0,26.0
10.0,78.0,91.0,96.0,235.0
112.0,76.0,238.0,202.0,53.0
104.0,245.0,31.0,222.0,235.0
126.0,5.0,112.0,67.0,412.0
64.0,20.0,517.0,236.0,267.0
