,matchID,championID,position,win,kda
12877,KR_5935031494,517,MIDDLE,True,1.8333333333333333
12878,KR_5935031494,498,BOTTOM,True,3.75
12879,KR_5935031494,267,UTILITY,True,3.6
12880,KR_6007484819,150,TOP,True,4.5
12881,KR_6007484819,9,JUNGLE,True,14.0
12882,KR_6007484819,238,MIDDLE,True,20.0
12883,KR_6007484819,221,BOTTOM,True,1.3
12884,KR_6007484819,497,UTILITY,True,6.25
12885,KR_6007484819,85,TOP,False,1.0
12886,KR_6007484819,254,JUNGLE,False,1.0
12887,KR_6007484819,268,MIDDLE,False,0.2222222222222222
12888,KR_6007484819,119,BOTTOM,False,1.875
12889,KR_6007484819,53,UTILITY,False,2.1666666666666665
12890,KR_5997085117,114,TOP,False,1.7142857142857142
12891,KR_5997085117,245,JUNGLE,False,3.0
12892,KR_5997085117,39,MIDDLE,False,2.25
12893,KR_5997085117,429,BOTTOM,False,2.0
12894,KR_5997085117,111,UTILITY,False,2.875
12895,KR_5997085117,79,TOP,True,1.8333333333333333
12896,KR_5997085117,104,JUNGLE,True,2.5
12897,KR_5997085117,43,MIDDLE,True,1.9090909090909092
12898,KR_5997085117,221,BOTTOM,True,5.2
12899,KR_5997085117,117,UTILITY,True,5.4
12900,KR_6002322301,79,TOP,True,4.333333333333333
12901,KR_6002322301,64,JUNGLE,True,1.8333333333333333
12902,KR_6002322301,55,MIDDLE,True,7.333333333333333
12903,KR_6002322301,81,BOTTOM,True,3.0
12904,KR_6002322301,43,UTILITY,True,3.5
12905,KR_6002322301,84,TOP,False,0.5714285714285714
12906,KR_6002322301,200,JUNGLE,False,1.2857142857142858
12907,KR_6002322301,39,MIDDLE,False,2.4
12908,KR_6002322301,202,BOTTOM,False,2.0
12909,KR_6002322301,888,UTILITY,False,2.6666666666666665
12910,KR_6007480200,777,TOP,True,4.0
12911,KR_6007480200,141,JUNGLE,True,10.0
12912,KR_6007480200,517,MIDDLE,True,2.0
12913,KR_6007480200,498,BOTTOM,True,9.0
12914,KR_6007480200,48,UTILITY,True,4.0
12915,KR_6007480200,516,TOP,False,0.5
12916,KR_6007480200,104,JUNGLE,False,1.1666666666666667
12917,KR_6007480200,64,MIDDLE,False,1.25
12918,KR_6007480200,30,BOTTOM,False,0.3333333333333333
12919,KR_6007480200,32,UTILITY,False,1.0
12920,KR_5997189942,79,TOP,False,2.0
12921,KR_5997189942,107,JUNGLE,False,0.75
12922,KR_5997189942,112,MIDDLE,False,1.0
12923,KR_5997189942,29,BOTTOM,False,0.42857142857142855
12924,KR_5997189942,350,UTILITY,False,1.2
12925,KR_5997189942,113,TOP,True,3.0
12926,KR_5997189942,48,JUNGLE,True,5.5
12927,KR_5997189942,34,MIDDLE,True,7.0
12928,KR_5997189942,221,BOTTOM,True,5.5
12929,KR_5997189942,117,UTILITY,True,6.0
12930,KR_5996815179,266,TOP,True,2.75
12931,KR_5996815179,246,JUNGLE,True,3.8
12932,KR_5996815179,163,MIDDLE,True,1.1428571428571428
12933,KR_5996815179,221,BOTTOM,True,26.0
12934,KR_5996815179,117,UTILITY,True,24.0
12935,KR_5996815179,113,TOP,False,1.1428571428571428
12936,KR_5996815179,76,JUNGLE,False,1.5
12937,KR_5996815179,81,MIDDLE,False,1.25
12938,KR_5996815179,29,BOTTOM,False,0.2222222222222222
12939,KR_5996815179,350,UTILITY,False,2.75
12940,KR_6007492442,41,TOP,True,4.333333333333333
12941,KR_6007492442,131,JUNGLE,True,9.5
12942,KR_6007492442,61,MIDDLE,True,6.0
12943,KR_6007492442,429,BOTTOM,True,1.6
12944,KR_6007492442,223,UTILITY,True,1.8
12945,KR_6007492442,150,TOP,False,1.1666666666666667
12946,KR_6007492442,30,JUNGLE,False,1.5
12947,KR_6007492442,80,MIDDLE,False,1.6666666666666667
12948,KR_6007492442,119,BOTTOM,False,1.2
12949,KR_6007492442,22,UTILITY,False,2.25
12950,KR_6002552706,22,UTILITY,False,1.0
12951,KR_6002552706,64,JUNGLE,False,1.3333333333333333
12952,KR_6002552706,42,MIDDLE,False,1.25
12953,KR_6002552706,147,BOTTOM,False,1.7142857142857142
12954,KR_6002552706,126,TOP,False,0.2222222222222222
12955,KR_6002552706,39,TOP,True,22.0
12956,KR_6002552706,421,JUNGLE,True,5.25
12957,KR_6002552706,4,MIDDLE,True,4.5
12958,KR_6002552706,523,BOTTOM,True,4.666666666666667
12959,KR_6002552706,412,UTILITY,True,2.375
12960,KR_6005942041,114,TOP,True,9.0
12961,KR_6005942041,203,JUNGLE,True,9.5
12962,KR_6005942041,61,MIDDLE,True,4.0
12963,KR_6005942041,429,BOTTOM,True,4.5
12964,KR_6005942041,888,UTILITY,True,11.5
12965,KR_6005942041,104,TOP,False,0.36363636363636365
12966,KR_6005942041,141,JUNGLE,False,1.4285714285714286
12967,KR_6005942041,103,MIDDLE,False,1.75
12968,KR_6005942041,221,BOTTOM,False,0.3
